ID,NetID,Name,Password,Major,GPA,AwardBalance,Extracurriculars
254d2452-e0fd-4609-bfac-b9aa47ffaf89,bsmith002,Bob Smith,9878d344400c00f8bab1a4ba1a3488b3ace88aea983e3d94ba1c781e09ba32bb,engineering,3.6,0.0,community service;leadership;robotics
1b2e856f-b684-49c2-bc24-9c0fd0193de6,tstudent1,Test Student,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Computer Science,3.6,0.0,coding;volunteering;robotics
c35031a5-a0f7-46e4-9b9d-bc35eb30cf27,jdoe001,Jane Doe,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,computer science,3.8,0.0,ai;research;programming
d3b66640-ed9b-488b-9f3f-babbfb36bd98,bsmith002,Bob Smith,9878d344400c00f8bab1a4ba1a3488b3ace88aea983e3d94ba1c781e09ba32bb,engineering,3.6,0.0,community service;leadership;robotics
3b2ea761-6de3-49f8-9eaf-7d7b72bfc099,tstudent1,Test Student,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Computer Science,3.6,0.0,coding;robotics;volunteering
c80d5d5d-c831-43fe-8b8c-1285c8e2c5de,jdoe001,Jane Doe,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,computer science,3.8,0.0,ai;programming;research
54ee1b74-4bf2-4004-9157-14a5c1266646,bsmith002,Bob Smith,9878d344400c00f8bab1a4ba1a3488b3ace88aea983e3d94ba1c781e09ba32bb,engineering,3.6,0.0,community service;leadership;robotics
5771fe5a-78c9-4f5f-8712-2875868439a5,tstudent1,Test Student,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Computer Science,3.6,0.0,coding;volunteering;robotics
e94d8e3c-6e40-47d7-9061-c3cecf3beb9f,jdoe001,Jane Doe,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,computer science,3.8,0.0,ai;research;programming
ebf0dd8b-1e03-47e3-a879-9fd3661bc5c9,bsmith002,Bob Smith,9878d344400c00f8bab1a4ba1a3488b3ace88aea983e3d94ba1c781e09ba32bb,engineering,3.6,0.0,community service;leadership;robotics
e41459b9-26d3-42ae-bf94-25a05cff694a,tstudent1,Test Student,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Computer Science,3.6,0.0,coding;robotics;volunteering
576d7da4-812c-46cb-b7ad-749ea83f2dc1,jdoe001,Jane Doe,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,computer science,3.8,0.0,ai;research;programming
009147af-163c-4761-8a76-1fac3ec28fbd,bsmith002,Bob Smith,9878d344400c00f8bab1a4ba1a3488b3ace88aea983e3d94ba1c781e09ba32bb,engineering,3.6,0.0,community service;leadership;robotics
4d915b20-5496-4c04-8fea-a4e3718fbeb7,tstudent1,Test Student,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Computer Science,3.6,0.0,coding;volunteering;robotics
787ca63b-1079-441e-9f06-4ddeae551b31,jdoe001,Jane Doe,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,computer science,3.8,0.0,ai;research;programming
84d530d3-7cc5-432d-92ec-b7314c133df8,bsmith002,Bob Smith,9878d344400c00f8bab1a4ba1a3488b3ace88aea983e3d94ba1c781e09ba32bb,engineering,3.6,0.0,community service;leadership;robotics
79384685-dff3-48ff-99fe-6d4df4bf238d,mchen003,Michelle Chen,9dbd5c893b5b573a1aa909c8cade58df194310e411c590d9fb0d63431841fd67,mathematics,3.9,0.0,volunteering;tutoring;research
a7199323-97f1-4404-87d0-476baa44276d,tstudent1,Test Student,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Computer Science,3.6,0.0,coding;volunteering;robotics
a6ffdd09-7d99-44b4-bef0-b8f904aa82f5,jdoe001,Jane Doe,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,computer science,3.8,0.0,ai;programming;research
1fd18749-0b84-4033-96db-db6a31649081,bsmith002,Bob Smith,9878d344400c00f8bab1a4ba1a3488b3ace88aea983e3d94ba1c781e09ba32bb,engineering,3.6,0.0,community service;leadership;robotics
4ab21d8f-4002-4635-935b-2135ce8a8893,mchen003,Michelle Chen,9dbd5c893b5b573a1aa909c8cade58df194310e411c590d9fb0d63431841fd67,mathematics,3.9,0.0,volunteering;tutoring;research
ef25af14-8988-4e69-92dc-4afa3741b426,tstudent1,Test Student,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Computer Science,3.6,0.0,coding;volunteering;robotics
701c96b1-ae41-4111-8a74-82ac03095abe,jdoe001,Jane Doe,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,computer science,3.8,0.0,ai;research;programming
8e0cf6d2-4e70-4d7d-bb0c-c13a703c8fa7,bsmith002,Bob Smith,9878d344400c00f8bab1a4ba1a3488b3ace88aea983e3d94ba1c781e09ba32bb,engineering,3.6,0.0,community service;leadership;robotics
b8729816-5a18-4b10-827e-193eacdb3751,mchen003,Michelle Chen,9dbd5c893b5b573a1aa909c8cade58df194310e411c590d9fb0d63431841fd67,mathematics,3.9,0.0,volunteering;tutoring;research
f3d90a40-e1b1-4e27-bebf-34cb2f993ca4,a123,Alice Johnson,9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,Computer Science,3.8,0.0,debate;robotics
